customer_id,customer_name,category
CL71,Eileen Kim,individual
CL72,Joseph Costa,individual
CL73,Tanya Powell,business
CL74,Philip Davis,business
CL75,Vanessa Hayes,business
CL76,Jennifer Bryan,business
CL77,Matthew Scott,business
CL78,Alfred Ortiz,business
CL79,John Goodman,individual
CL80,Catherine Stephens,business
CL81,Sarah Lee,individual
CL82,Kiara Parker,business
CL83,Joshua Miller,business
CL84,James Jones,business
CL85,David Taylor,business
CL86,Richard Mullen,business
CL87,Danielle Everett,business
CL88,Steven Thompson,business
CL89,Renee White,business
CL90,Lisa Hill,business
CL91,Sandra Bass,business
CL92,Madeline Osborne,individual
CL93,Sydney Wagner,business
CL94,Jeremy Good,business
CL95,Scott Estrada,individual
CL96,Linda Campbell,business
CL97,Charles Simpson,business
CL98,Dan Newton,business
CL99,Nichole Huang,individual
CL100,Eric Saunders,business
CL101,Maria Martinez,business
CL102,Danielle Rogers,individual
CL103,Amber Zamora,business
CL104,James Harris,individual
CL105,Jill Glenn,business
CL106,Virginia Miller,individual
CL107,Miranda Morales,business
CL108,Laura Collins,business
CL109,Justin Martin,business
CL110,Mario Hodge,individual
CL111,Brent Smith,individual
CL112,Autumn Heath,business
CL113,Lisa Cantrell,individual
CL114,Stephanie Shea,individual
CL115,William Byrd,individual
CL116,Anthony Miller,business
CL117,Sabrina Weber,business
CL118,Glenda Lopez,business
CL119,Pedro Adams,business
CL120,Sarah Stewart,business
CL121,Anthony Harding,individual
CL122,Alexander Blake,business
CL123,Hunter Meza,business
CL124,Molly Ramos,business
CL125,Julia Matthews,individual
CL126,Austin Murphy,business
CL127,Melanie Garcia,individual
CL128,Mark Garcia,individual
CL129,Sandra Nelson,business
CL130,Sandra Buchanan,individual
CL131,Joshua Anderson,individual
CL132,Jill Baldwin,business
CL133,Aaron Hensley,individual
CL134,Jill Walker,business
CL135,Nancy Bridges,business
CL136,Jessica Gomez,business
CL137,Andrew Turner,business
CL138,Jack Lee,individual
CL139,Elizabeth Lopez,business
CL140,Amanda Miller,business
CL141,Michael Burns,individual
CL142,Lisa Garcia,business
CL143,Emily Hood,business
CL144,David Black,business
CL145,Gregory Maynard,business
CL146,Gregory Zhang,individual
CL147,Katherine Gould,business
CL148,Tyler Miller MD,business
CL149,Rebecca Nelson,business
CL150,Kenneth Cruz,business
CL151,Samantha Jackson,business
CL152,Molly Wood,individual
CL153,Nicole Thomas,business
CL154,Amy Johnson,business
CL155,Lauren Johnson,individual
CL156,John Terry,business
CL157,Thomas Prince,business
CL158,Nancy Moore,individual
CL159,Christopher Jenkins,individual
CL160,Tammy Wolf,business
CL161,Jenna Travis,business
CL162,William Huerta,business
CL163,Sarah Dougherty,business
CL164,Brett Wu,individual
CL165,Rebecca Patton,individual
CL166,Joel Jones,business
CL167,Steven Johnson,business
CL168,Michael Coleman,business
CL169,Erica Turner,business
CL170,Sara Jones,business
CL171,Angel Saunders,business
CL172,Anna Williams,business
CL173,Tiffany Davis,individual
CL174,Seth Foster,business
CL175,Mike Ball,business
CL176,Mark Wright,business
CL177,Sierra French,business
CL178,Michelle Payne,individual
CL179,Emma Brock,individual
CL180,Gabrielle Camacho,business
CL181,Jeff Hart,individual
CL182,Dustin Ford,business
CL183,James Roman,business
CL184,Teresa Rivera,business
CL185,Stephanie Moore,individual
CL186,Kaitlyn Rose,business
CL187,Matthew Thompson,business
CL188,Melissa Long,business
CL189,Beth Gonzales,business
CL190,Terry Johnson,individual
CL191,Regina Castillo,business
CL192,Jesus Cross,business
CL193,Brandon Holland,business
CL194,Tiffany Wilson,individual
CL195,Cynthia Allen,individual
CL196,Andre Jones,business
CL197,Kelly Brown,individual
CL198,Riley Hobbs,business
CL199,Michael Young,individual
CL200,Sierra Cole,individual
CL201,Michelle Miller,business
CL202,Jamie Snyder,business
CL203,Jennifer Hays,business
CL204,Cameron Boyd,business
CL205,Hector Perez,business
CL206,Mary Williams,business
CL207,James Pittman,business
CL208,Amy Church,individual
CL209,Brenda Freeman,business
CL210,Michael Phillips,individual
CL211,Lydia Lewis,business
CL212,Jacob Villarreal,individual
CL213,Kevin Moore,individual
CL214,Steven Moore,business
CL215,Jeanne Duncan,individual
CL216,Damon Kelly,individual
CL217,Angela Thompson,business
CL218,Manuel Wilkerson,individual
CL219,Jennifer Jones,business
CL220,Brendan Lang II,business
CL221,Jacqueline Weaver,business
CL222,Richard Smith,individual
CL223,Renee Brown,business
CL224,Allison King,individual
CL225,Allen Jones,business
CL226,Heather Hood,business
CL227,Angelica Tucker,business
CL228,Caroline Cummings,business
CL229,Andrew Adams,individual
CL230,Rhonda Gomez,business
CL231,Ricardo Alexander,business
CL232,Amanda Johnson,business
CL233,Stephanie Bailey,business
CL234,Rachel Jones,business
CL235,Ashley Wiggins,individual
CL236,Ruth Fritz,individual
CL237,Leslie Watson,individual
CL238,Marcia Lewis,individual
CL239,Christopher Henderson,individual
CL240,Sara Meza,individual
CL241,Michael Adams,business
CL242,Marcus Rice,business
CL243,Chelsea James,individual
CL244,Nicholas Scott,business
CL245,Kathleen Thornton,business
CL246,Andrea Wood,individual
CL247,Sean Irwin,individual
CL248,Edward Bush,business
CL249,Jared Greene,individual
CL250,David Madden,business
CL251,Zachary Weiss,individual
CL252,James Smith Jr.,individual
CL253,Rebecca Stokes,business
CL254,Alexis Lynn,business
CL255,Wayne Jefferson,individual
CL256,Michael Delgado,individual
CL257,Sierra Stone,business
CL258,Jon Bowen,business
CL259,Melissa Green,business
CL260,Ryan Johnson,individual
CL261,Susan Lee,individual
CL262,Matthew Taylor,business
CL263,John Stewart,business
CL264,Diane Flowers,business
CL265,Joshua Shaw,business
CL266,Emily Hill,individual
CL267,Garrett Shah,business
CL268,Bruce Morales,business
CL269,Dennis Miller,business
CL270,Kathleen Graves,business
CL271,Patrick Byrd,business
CL272,Sydney Rogers,individual
CL273,John Fitzgerald,business
CL274,Mary Barber,individual
CL275,Bonnie Haley,business
CL276,Lisa Brown,individual
CL277,William Mckinney,business
CL278,Brandon Brown,business
CL279,Bobby Ferguson,business
CL280,Rhonda Cook,business
CL281,Mark Lambert,individual
CL282,Michael Hill,business
CL283,Michelle Jenkins,business
CL284,Timothy Morgan,business
CL285,Gina Hunter,business
CL286,Joshua Thomas,business
CL287,Richard Salas,business
CL288,Patrick Thomas,business
CL289,Robert Palmer,business
CL290,Cameron Bennett,business
CL291,Darryl Edwards,individual
CL292,Judy Joseph,business
CL293,Adrian Ford,business
CL294,Emily Edwards,business
CL295,Brian Li,business
CL296,Nicholas Henderson,business
CL297,Mindy Medina,business
CL298,Amy Byrd,individual
CL299,Stephen Lambert,individual
CL300,Kristine Bennett,business
CL301,Shaun Jackson,individual
CL302,Christopher Jones,individual
CL303,Tara Stevenson,individual
CL304,Emily Combs,business
CL305,Ryan Barnes,business
CL306,Whitney Mitchell,individual
CL307,Nathan Benson,business
CL308,Lynn Miller,individual
CL309,Chelsea Diaz,individual
CL310,Clayton Vaughn,individual
CL311,Raymond Hernandez,business
CL312,Bradley Jimenez,individual
CL313,Tara Foster,business
CL314,Joe Collins,business
CL315,Mrs. Katherine Butler,business
CL316,Daniel Robles,business
CL317,Daniel Ryan,business
CL318,Tamara Olson,individual
CL319,Mitchell Kidd,business
CL320,Jamie Green,individual
CL321,James Galvan,individual
CL322,Tyler Stewart,business
CL323,Cindy Hale,business
CL324,Brittany Marshall,business
CL325,Helen Holloway,individual
CL326,Karen Cook,individual
CL327,Charles Brooks,business
CL328,Donald Wilson,business
CL329,Sharon Long,business
CL330,Marie Cobb,business
CL331,Carrie Cole,individual
CL332,James Price,individual
CL333,Cindy Black,business
CL334,Shannon Hill,business
CL335,Tammy Stevenson,business
CL336,Louis Reynolds,individual
CL337,Jason Nicholson,business
CL338,Brian Gutierrez,business
CL339,Edward Thompson,business
CL340,Bradley Nelson,business
CL341,Katherine Fleming,business
CL342,Todd Garrett,individual
CL343,Joshua Glover,business
CL344,Jeffrey Powell,business
CL345,Leslie Gomez,business
CL346,Hannah Gibbs,business
CL347,James Johnson,individual
CL348,Erica Boyer,individual
CL349,Mark Castro,business
CL350,Matthew Richardson,business
CL351,Ryan Murillo,individual
CL352,Ryan Reed,business
CL353,Lisa Smith,business
CL354,Shannon Brooks,business
CL355,Joan Smith,individual
CL356,Jenna Allen,business
CL357,Kimberly Davenport,business
CL358,James Serrano,business
CL359,James Lewis,individual
CL360,Ashley Thomas,business
CL361,Andrea Cruz,business
CL362,Denise Taylor,business
CL363,Stephanie Gilbert,individual
CL364,Cindy Thomas,business
CL365,Cindy Garza,business
CL366,Alison Carroll,business
CL367,Tracy Bentley,business
CL368,Stephanie Douglas,individual
CL369,Theresa Duran,business
CL370,Lisa Stanton,individual
CL371,Brandon Mathews,business
CL372,Daniel Lowe,individual
CL373,Travis Harris,business
CL374,Lisa Mcdowell,business
CL375,Kenneth Esparza,individual
CL376,Cynthia Ramos MD,business
CL377,Eric Harris,business
CL378,Leslie Smith,individual
CL379,Thomas Garcia,business
CL380,Diana Thomas,business
CL381,Tracy Guerrero,business
CL382,Yolanda Wilson,business
CL383,Antonio Herrera,business
CL384,Thomas Gray,business
CL385,Rachel Ballard,business
CL386,Michael Mitchell,individual
CL387,David Zimmerman,business
CL388,Stanley Smith,individual
CL389,Rodney Shields,business
CL390,Aaron Reed,individual
CL391,Steven Fox,individual
CL392,Roger Shelton,business
CL393,Kimberly May,individual
CL394,April Wolf,business
CL395,Devon Bauer,business
CL396,William Allen,business
CL397,Jeffrey Russell,individual
CL398,Richard Jordan,business
CL399,Heather Jacobs,business
CL400,James Love,business
CL401,Rhonda Welch,business
CL402,Julie Burns,business
CL403,Ryan Taylor,individual
CL404,Tony Marsh,business
CL405,Brent Johnson,business
CL406,Lisa Martinez,business
CL407,Kevin Wise,business
CL408,Renee Castro,business
CL409,Dustin Flores,individual
CL410,Debra Ramirez,business
CL411,Jaime Harvey,individual
CL412,Daniel Ramsey,individual
CL413,Paul Hudson,business
CL414,Ms. Stephanie Stein DDS,business
CL415,Mr. Jason Schmitt,individual
CL416,Corey Barnes,business
CL417,Kimberly Johnson,individual
CL418,Kara Wright PhD,business
CL419,Lisa Dixon,individual
CL420,Brandon Guerrero,individual
CL421,Katherine Montgomery,individual
CL422,Anna Dickerson,individual
CL423,Ricky Rangel,business
CL424,Brittany Hernandez,business
CL425,Kenneth Mejia,individual
CL426,Melissa Anderson,business
CL427,Lauren Fletcher,individual
CL428,Jenna Ellis,business
CL429,Gina Cherry,individual
CL430,Danielle Richardson,individual
CL431,Matthew Peters,business
CL432,Richard Jennings,individual
CL433,Selena Bauer,individual
CL434,Michael Matthews,business
CL435,Rebecca Gilmore,business
CL436,Kiara Brooks,business
CL437,Timothy Holder,business
CL438,Taylor Burnett,business
CL439,Dr. Shane Day,business
CL440,Andrew Foster,business
CL441,Suzanne Miller,business
CL442,Carlos Ochoa,business
CL443,Veronica White,individual
CL444,Dr. Lindsay Hernandez,individual
CL445,Sheila Guerra,business
CL446,Mason Wilson,business
CL447,Matthew Hayes,business
CL448,Christopher Smith,business
CL449,Walter Young,individual
CL450,Katherine Stone,business
CL451,Hannah Norton,individual
CL452,Teresa Davenport,business
CL453,Tamara Ferguson DVM,business
CL454,Jerry Good,individual
CL455,Denise Huang,business
CL456,Christopher Peters,business
CL457,Marissa Davis,business
CL458,Dana Flowers,business
CL459,Denise Jones,individual
CL460,Julia Davis,business
CL461,Marissa Johnston,business
CL462,Ryan Palmer,individual
CL463,Michael Miller,individual
CL464,Dustin Smith,business
CL465,Scott Bennett,business
CL466,Norman Randolph,business
CL467,Dean Jones,individual
CL468,Edward Scott,business
CL469,Joshua Peters,business
CL470,Michael Hammond,business
CL471,Samantha Ryan,individual
CL472,Amanda Davis,business
CL473,James Escobar,business
CL474,Holly Simon,individual
CL475,Matthew Wilson,individual
CL476,Hunter Armstrong,business
CL477,Sandra Hale,individual
CL478,James David,individual
CL479,Samantha Vega,business
CL480,Brianna Ramos,individual
CL481,Arthur Massey,individual
CL482,Matthew Dominguez,individual
CL483,Brandi Torres,individual
CL484,Carrie Wise,individual
CL485,Karen Torres,business
CL486,Seth Johnson,business
CL487,Patricia Moore,individual
CL488,Lucas Bell,business
CL489,Todd Estrada,individual
CL490,William Nelson,individual
CL491,Connie Tapia,business
CL492,Susan Green MD,business
CL493,Crystal Bell,business
CL494,Cody Ewing,business
CL495,Kenneth Larson,business
CL496,Michael Morgan,business
CL497,Darrell Cook,business
CL498,Jillian Hester,business
CL499,William Mccann,individual
CL500,Scott Turner,business
CL501,April Rogers,business
CL502,Megan Wolf,individual
CL503,William Lane,business
CL504,Jillian Lawson,business
CL505,Justin Park,business
CL506,Jose Bradley,business
CL507,Kelly Hernandez,individual
CL508,Lawrence Davis,business
CL509,Sean Tucker,business
CL510,Michael Odonnell,individual
CL511,Steven Pham,individual
CL512,Leah Riley,business
CL513,William Garcia,business
CL514,Robert Duffy,business
CL515,Steven Henry,business
CL516,Richard Elliott,business
CL517,Zachary Brandt,individual
CL518,Andrew Smith,business
CL519,Stephanie Roach,individual
CL520,Ashley Rojas,business
CL521,Gina Hull,business
CL522,Richard Cunningham,business
CL523,Sydney Hawkins,business
CL524,Heather Dawson,business
CL525,Cody Bailey,business
CL526,Roger Pitts,business
CL527,George Reed,business
CL528,Sandra Nixon,business
CL529,Michael Bryant,business
CL530,Joy Allen,business
CL531,Andres Shelton,individual
CL532,Donna Jenkins,individual
CL533,Joseph Nguyen,individual
CL534,Holly Perez,business
CL535,Brenda Robbins,business
CL536,Rebecca Wood,individual
CL537,Mr. James Norman,individual
CL538,John Anderson,business
CL539,Barbara Barnes,individual
CL540,Melissa Turner,business
CL541,Misty Mendez,business
CL542,Teresa Jimenez,business
CL543,Amanda Robertson,business
CL544,Justin Rowland,business
CL545,Charles Hernandez,individual
CL546,Joseph Castaneda,individual
CL547,Kristen Blake,individual
CL548,Erika Villanueva,business
CL549,Holly Taylor,business
CL550,Kimberly Frazier,business
CL551,Denise Gould,business
CL552,Sylvia Russell,business
CL553,Kathryn Hunter,business
CL554,Deborah Simpson,business
CL555,Jenny Flynn,individual
CL556,Eric Black,individual
CL557,Vanessa Kennedy,business
CL558,Anna White,individual
CL559,Austin Salinas,individual
CL560,Anthony Wells,business
CL561,Angela Hall,individual
CL562,Kimberly Cunningham,business
CL563,Tara Pratt,individual
CL564,Brianna Evans,business
CL565,Lindsey Barnes,individual
CL566,Melissa Weiss,business
CL567,Taylor Alvarez,individual
CL568,Hannah Quinn,business
CL569,Levi Valencia,individual
CL570,Charles Wells,business
CL571,Angela Jensen,business
CL572,Jennifer Ramsey,individual
CL573,Michael Fields,business
CL574,Becky Evans,business
CL575,Jeffrey Pratt,business
CL576,Michael Long,business
CL577,Timothy Gomez,business
CL578,Nicole Delgado,business
CL579,Rebekah Price,individual
CL580,Briana Taylor,business
CL581,Kevin Kelly,business
CL582,Jacob Howard,individual
CL583,Todd Watson,individual
CL584,Patricia Jones,business
CL585,Sarah Johnson,business
CL586,Lisa Morgan,business
CL587,Matthew Martinez,individual
CL588,Jason Serrano,business
CL589,Mark Woodward,individual
CL590,Alex Valdez,business
CL591,Jodi Dickson,individual
CL592,Brian Bell,business
CL593,Jeremy Robinson,individual
CL594,Jennifer Anderson,business
CL595,Mr. Victor Nguyen,individual
CL596,Matthew Tran,individual
CL597,Michelle Harris,business
CL598,Candace Taylor,business
CL599,Terrance Turner,business
CL600,Gary Wilkerson,business
CL601,Jamie Nelson,business
CL602,Sharon Fuller,business
CL603,Samuel Delgado II,individual
CL604,Nicholas Zavala,business
CL605,Alexandra Harvey,individual
CL606,Laura Barnett,individual
CL607,Oscar Ortiz,business
CL608,James Russell,individual
CL609,John Mendoza,individual
CL610,Phillip Roman,individual
CL611,Denise Allen,business
CL612,Jose Hunter,business
CL613,Jenny Robinson,individual
CL614,Stefanie Guzman,individual
CL615,Ernest Torres,business
CL616,Mrs. Nicole Perez,business
CL617,Frank Shannon,business
CL618,Karen Hernandez,business
CL619,Andrew Riley,individual
CL620,Mary Gallagher,business
CL621,Juan Hayes,business
CL622,Nathaniel Clark,business
CL623,Dr. Marc Leonard,business
CL624,Kimberly Tucker,business
CL625,Diane Lewis,individual
CL626,Tiffany Perkins,business
CL627,Walter Frazier,business
CL628,Deborah Duncan,business
CL629,Lauren Luna,business
CL630,Elizabeth Williamson,business
CL631,Bailey Black,business
CL632,Jonathon Copeland,business
CL633,Gregory Love,business
CL634,Reginald Trevino,business
CL635,Pamela Hall,business
CL636,Melanie George,individual
CL637,Yvonne Reynolds,individual
CL638,Paula Wood,individual
CL639,Helen Garza,business
CL640,Lori Davis,business
CL641,Samantha Howard,business
CL642,Christina Brown,business
CL643,Jenna Gomez,business
CL644,Michael Fox,individual
CL645,Bridget Elliott,individual
CL646,Mark Craig,individual
CL647,Joann Fisher,business
CL648,Tabitha Potter,business
CL649,Brooke Weber,individual
CL650,Lucas Orozco,business
CL651,Adam Martin,business
CL652,William Harding,individual
CL653,Angela Willis,individual
CL654,Kendra Mitchell,business
CL655,Mr. Gregory Hanson,business
CL656,Scott Zimmerman,business
CL657,Dr. Gary Vega MD,business
CL658,Sarah Roman,business
CL659,Robert Martinez,individual
CL660,Brian Mays,individual
CL661,Jason Garcia,business
CL662,Antonio Garcia,individual
CL663,Frank Jones,business
CL664,Alexander Perez,business
CL665,Samantha Miller,individual
CL666,Kathleen Miller,business
CL667,Haley Martin,business
CL668,Kevin Adams,business
CL669,David Campbell,individual
CL670,David Hernandez,individual
CL671,Jennifer Thompson,individual
CL672,Chelsea Baker,business
CL673,Shawn Mann,business
CL674,Linda Thomas,individual
CL675,James White,individual
CL676,Rebecca Phillips,individual
CL677,Mrs. Krista Jordan,individual
CL678,Benjamin Harris,business
CL679,Daniel Garcia,business
CL680,Joshua Randolph,business
CL681,Anne Miller,business
CL682,Isaiah Marquez,business
CL683,Beth Wells,business
CL684,Matthew Boyer,business
CL685,Joseph Turner,business
CL686,Johnny Hensley,business
CL687,Gina Zimmerman,business
CL688,Richard Fleming,business
CL689,Brian Jones,business
CL690,Jacqueline Hanson,individual
CL691,Rose Watson,business
CL692,Douglas Harvey,business
CL693,Dana Harrington,individual
CL694,Nicholas Mercado,individual
CL695,Larry Smith DVM,individual
CL696,Isaac Collier,individual
CL697,Rebecca Green,individual
CL698,Maurice Savage,business
CL699,Sarah Jones,business
CL700,Julie Larsen,business
CL701,Erica Henderson,individual
CL702,Cheryl Smith,business
CL703,Edward Gomez,business
CL704,Christy Reed,business
CL705,Matthew Villanueva,business
CL706,Erika Wilkins,business
CL707,Brianna Blevins,individual
CL708,Ashlee Rosales,business
CL709,Anthony Boyd,business
CL710,Jordan Lynch,business
CL711,Dawn Jones,business
CL712,Kathryn White,individual
CL713,Stacey Gonzalez,business
CL714,Brian Manning,individual
CL715,Melanie Cole,business
CL716,Dawn Roman,business
CL717,Tracey Morrow,business
CL718,Stephanie Elliott,business
CL719,Adam Booth,individual
CL720,Beth Watson,business
CL721,Cody Horne,business
CL722,Eric Little,business
CL723,Danielle Gordon,business
CL724,Gary Smith,business
CL725,Ashley Gardner,business
CL726,Christine Copeland,individual
CL727,Deborah Snow,business
CL728,Jacob Williams,individual
CL729,Jason Jones,business
CL730,David Anderson,business
CL731,Lisa Blake,business
CL732,Christopher Williams,business
CL733,Alexis Dodson,business
CL734,Zachary Medina,business
CL735,Christopher Gutierrez,business
CL736,Elizabeth Hudson,individual
CL737,Monica Hodges,business
CL738,Jeffrey Sanchez,business
CL739,Hunter Irwin,individual
CL740,Cynthia Taylor,business
CL741,Sara Carroll,individual
CL742,Amy Garcia,business
CL743,Johnny Hernandez,individual
CL744,Terrance Whitehead,individual
CL745,Joshua Garcia,business
CL746,Joseph Jackson,business
CL747,Mr. Miguel Brown,business
CL748,Lauren Diaz,business
CL749,Gina Downs,business
CL750,Michael Walker,individual
CL751,Ariana Gordon,business
CL752,Robert Downs,business
CL753,Samantha Sloan,business
CL754,Holly Thomas,business
CL755,Amanda Scott,individual
CL756,Amber Conley,individual
CL757,Joshua Gonzalez,business
CL758,Jill Hayes,individual
CL759,Arthur Norman,business
CL760,Richard Webster,individual
CL761,Dana Thompson,business
CL762,Joshua Schmidt,business
CL763,Laurie Rodriguez,business
CL764,Erika Banks,individual
CL765,Bill Gomez,business
CL766,Charles Ruiz,business
CL767,Wendy Shaw,individual
CL768,Amy Rodriguez,business
CL769,Kelly Dillon,business
CL770,Melissa Avery,business
CL771,Jessica Hodge,business
CL772,Matthew Malone,individual
CL773,Tara Guerra,individual
CL774,Amanda Young,individual
CL775,Timothy Newman,business
CL776,Angela Parrish,business
CL777,Tiffany Key,business
CL778,Tiffany Stephenson,business
CL779,William Henderson,individual
CL780,Angela Johnson,business
CL781,Charles Mcconnell,business
CL782,Karen Wheeler,business
CL783,Jeffrey Green,business
CL784,Lisa Wise,business
CL785,Gregory Hamilton,business
CL786,Todd Walsh,individual
CL787,Michael Garcia,business
CL788,Brett Harris,individual
CL789,Casey Oconnor,business
CL790,Stuart Spears,business
CL791,Donna Campbell,business
CL792,Teresa Glover,individual
CL793,Gordon Banks,individual
CL794,Ryan Schwartz,business
CL795,David Ramirez,individual
CL796,Ashley Gould,business
CL797,Mary Ortiz,individual
CL798,Jamie Mcgee,individual
CL799,Diana Jones,business
CL800,Anthony Davis,business
CL801,Julian Pope,business
CL802,Debra Peterson,individual
CL803,Robert Wilkins,business
CL804,Christopher Cain,business
CL805,Kayla Harmon,business
CL806,John Norton,business
CL807,Andrew Peterson,individual
CL808,Justin Lee,individual
CL809,Stacy Robinson,business
CL810,Natasha Johnson,individual
CL811,Tammy Dennis,individual
CL812,Jesse Simpson,business
CL813,Dustin Lara,individual
CL814,Dr. Sarah Gardner,business
CL815,Amy Mann,business
CL816,Casey Thompson,business
CL817,Kevin Mitchell,individual
CL818,Michael Jones,business
CL819,Patrick George,business
CL820,James Johnston,business
CL821,Jessica Reed,individual
CL822,Adam Matthews,business
CL823,David Nunez,individual
CL824,Kevin Harris,business
CL825,Gabriel Bell,business
CL826,Yolanda Gutierrez,individual
CL827,Alexandria Mendoza,business
CL828,Cindy Cervantes,business
CL829,Sarah Mills,individual
CL830,Donna Cunningham,business
CL831,Joshua Henderson,individual
CL832,Todd Edwards,business
CL833,Alicia Bell,business
CL834,Michael Walters,business
CL835,Keith Barker,business
CL836,Daniel Maldonado,business
CL837,Crystal Jones,business
CL838,Jennifer Foley,business
CL839,Justin Mora,individual
CL840,Brandon Jenkins,business
CL841,Patricia Wilkins,business
CL842,Robert Cardenas,individual
CL843,Patricia Wilson,business
CL844,Mathew Russo,business
CL845,Gregory Lee,business
CL846,Gloria Peck,individual
CL847,Mallory Hill,individual
CL848,Deborah Tanner,business
CL849,Martha Lozano,individual
CL850,Luis Barton,individual
CL851,Jennifer Herring,business
CL852,Anna Miller,individual
CL853,Lori Torres,business
CL854,Robert Oneal,individual
CL855,Jeff Wilkinson,individual
CL856,Phillip Good,individual
CL857,Anna Robertson,business
CL858,Ricky Green,business
CL859,Sandra Charles,business
CL860,Emily Smith,business
CL861,Donna Barker,business
CL862,Nathan Williams,business
CL863,Anna Gallegos,business
CL864,Colton Carson,business
CL865,Jacob James,individual
CL866,Wendy Bowman MD,business
CL867,Sean Allen,business
CL868,Anthony Adams,individual
CL869,David Osborne,business
CL870,Tamara Mason,business
CL871,Michael Howell,business
CL872,Kenneth White,individual
CL873,Eric Patel,individual
CL874,Maria Glover,individual
CL875,Emma Fox,individual
CL876,Mathew Wade,individual
CL877,Dustin Carter,business
CL878,Larry Glass,business
CL879,Jill Greene,business
CL880,Nicole Smith,business
CL881,Dustin Campbell,individual
CL882,Tamara Fowler,individual
CL883,Eric Graves Jr.,individual
CL884,Megan Henderson,business
CL885,Heather Curtis,business
CL886,Connie Steele,business
CL887,Linda Mills,business
CL888,Beth Steele,business
CL889,Kara Mccarthy,business
CL890,Wendy Snyder,business
CL891,Shane Mata,business
CL892,Megan Thompson,business
CL893,Karen Dudley,business
CL894,Ruben Lopez,business
CL895,Jason Gonzalez,business
CL896,Seth Hale,business
CL897,Jessica Parker,individual
CL898,Steven Martin,business
CL899,Lisa Barnett,individual
CL900,Suzanne Gonzalez,business
CL901,Kelly Kim,individual
CL902,Tammy Gray,business
CL903,Robert Kirby,business
CL904,Ryan Garcia,individual
CL905,Brittany Perry,business
CL906,David Cole,individual
CL907,Scott Foster,business
CL908,John Mitchell,individual
CL909,Brianna Barajas,individual
CL910,Brian Hale,individual
CL911,Kristie Murphy,business
CL912,Douglas Simpson,individual
CL913,Mark Gay,business
CL914,John Kaufman,business
CL915,Sarah Shields,business
CL916,Susan Bailey,business
CL917,Richard Price,individual
CL918,April Ramirez,business
CL919,Robert Harris,business
CL920,Paul Johnson,business
CL921,Jerry Gray,business
CL922,Richard Wright,business
CL923,Jimmy Wise,business
CL924,Larry Villa,business
CL925,Micheal Buckley,business
CL926,James Todd,business
CL927,Kelly Zamora,business
CL928,Maurice Brown,individual
CL929,Theodore Rojas,individual
CL930,Jeffery Flynn,individual
CL931,Dawn Thomas,business
CL932,Kirk Vasquez,business
CL933,Paul Lopez,business
CL934,Brenda Newman,business
CL935,Luis Strickland,business
CL936,John Mosley,individual
CL937,Antonio Smith,business
CL938,Brian Fuller,individual
CL939,Jessica Nguyen,business
CL940,Joshua Johnson,business
CL941,Kevin Odonnell Jr.,business
CL942,Marcus Galloway,individual
CL943,Brittany Foster MD,individual
CL944,Sandra Hopkins,business
CL945,Diane Watson,individual
CL946,Michael Lowe,business
CL947,Tiffany Johnson,business
CL948,Philip Jordan,business
CL949,Christopher Reynolds,business
CL950,Matthew Garcia,individual
CL951,Andrew Mosley,business
CL952,Jason Page,business
